Item,Purpose,Source,Price,link
tPQ6VyGMmP3pq7T7hTWR36s2NWE5OArLfIebhn3L0.1A-Iwhz95bqBIuobtqPj7dJy25cNYtebRTZ41n3034o&dib_tag=se&keywords=3.7v+battery+18650&qid
=1779181648&sprefix=3.7v+battery+18%2Caps%2C1284&sr=8-10

5.MPU6050 Accelerometer, for movement detections, amazon, 3.00$,https://www.amazon.in/Robocraze-MPU-6050-Gyroscope-Accelerometer-
Arduino/dp/B07H3XH1TB/ref=sr_1_1?crid=NBWXMO76XAUE&dib=eyJ2IjoiMSJ9.WEb2yoPHqOS3CH4mUd45PCZw8weadt9VHH3blNQVZVJbdz6HavsldC1kj_hkMoB
-M6X4ye0P7fGSSC_c25p73Vc_89f9mRWax2SFkXCsW5KXAtc9PXbioo78SThzpJhc5NGuhq5050Pj4SM1kzLJJ1o8QhpUmEj0dmmm2xvkSAeDZJtsY
MZnexpIMeNnd5fyFNrwfKgVk8CLDV3lhfe0U4TLIu7mQy8QVrMJJLyGyeR5DCF4AULfj0-lDnU9Hc0_ZzUZI0tJz8gU4q7kky_tied5s3byupaUfeYni426CBU.
FGx0YOrMb5BpfCNon51m0hNwMVcTBHpmpVJRkhYB6iU&dib_tag=se&keywords=mpu6050&qid=1779181813&sprefix=mpu6050%2Caps%2C735&sr=8-1

6.PLA 3d printing Filament 1kg Black, for making the case, amazon, 7.25$, https://www.amazon.in/PLA-3D-Flexibility-Eco-Friendly-
Compatible/dp/B071D82LDV/ref=sr_1_2_sspa?crid=1UXA3765ES08V&dib=eyJ2IjoiMSJ9.Gvj0NlqIYsJNdbLlZjchSslVhu_JgJ2A0NCfyHXMwW729kOJ-
tAQm2VbguKuR1gC_r_xtyB9DZE5HAXJ45zyxXWgvY3ay9Kg-M3MwYsxJtnLh_DB4b-FLyYZ8YP7XawYIXVuz9ra7AzEgZyDBT8eimSiRBKR3Wdu9zyWBnfjXk5Ub-5I-
jeED7F2nmbyiWpzumzhAFgQniO4YyjUjlpFJN3aANGZqQNVBDoYTulew5i262pa5C6oOR3UxyE4lAsNSsS8dUaEoiSGo__Hj3blFdzM7CRkzKKQK6I39z0xNRY.XRY63-
Yw4OaN7BqDOTxI45PBlwpopiVz_5jowOojHqE&dib_tag=se&keywords=pla+filament&qid=1779182142&sprefix=PLA+%2Caps%2C480&sr=8-2-spons&aref
=VCNt1HRDzb&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1

7.PCB, for embeding all components on one board, JlcPCB, 6.40$,https://cart.jlcpcb.com/quote?spm=jlcpcb.Public.2006 
